"topicId","topicSlug","topicDisplayName","wikiItemId","freebaseMachineId"
2,"zumba","Zumba","Q229680","0b9gnr"
11,"word-of-mouth-marketing","Word of Mouth Marketing","Q561187","0g578sj"
21,"womens-rights","Women's Rights","Q223569","012h0y"
30,"wu-tang-clan","Wu Tang Clan","Q52463","0827v"
37,"tottenham","Tottenham","Q503375","0ncf9"
41,"zelda","Zelda","Q12393","07d5v"
45,"wind-power","Wind Power","Q43302","01phdl"
51,"twentieth-century","Twentieth Century","Q1788051","01gcjc"
55,"wil-wheaton","Wil Wheaton","Q264699","0l_dv"
61,"the-onion","The Onion","Q618236","07l04"
65,"web-television","Web Television","Q14346334","05pdd7v"
68,"texas-instruments","Texas Instruments","Q193412","0cv9b"
69,"yosemite-national-park","Yosemite National Park","Q180402","0c_y8"
71,"stirling","Stirling","Q182923","0gmkn"
75,"seattle-post-intelligencer","Seattle Post-Intelligencer","Q286261","027w3c"
79,"togo","Togo","Q945","07f5x"
80,"wicca","Wicca","Q59774","08356"
82,"western-digital","Western Digital","Q235813","01gfyl"
85,"zig-ziglar","Zig Ziglar","Q373830","04vvlw"
88,"turbotax","TurboTax","Q14477864","02l0q9d"
89,"walter-cronkite","Walter Cronkite","Q31073","016bxh"
91,"yoko-ono","Yoko Ono","Q117012","01nz1q6"
92,"ralph-waldo-emerson","Ralph Waldo Emerson","Q48226","06jkm"
94,"toys-r-us","Toys R Us","Q696334","02jwcn"
96,"water-sports","Water Sports","Q7973369","09gbk2d"
97,"user-groups","User Groups","Q613366","09bl1x"
102,"windows-95","Windows 95","Q83370","086n_"
103,"tory-burch","Tory Burch","Q2945547","04gsmx2"
104,"qr-code","QR Codes","Q12203","03ffw1"
109,"whitby","Whitby","Q852778","016n7v"
110,"toronto-film-festival","Toronto Film Festival","Q390018","018cvf"
111,"waste-management","Waste Management","Q180388","01dx90"
120,"walter-payton","Walter Payton","Q963117","0d1b4v"
121,"wyclef-jean","Wyclef Jean","Q202663","01s1zk"
122,"puerto-montt","Puerto Montt","Q36214","03fxkl"
123,"wolf-blitzer","Wolf Blitzer","Q49079","02qry6"
126,"vladivostok","Vladivostok","Q959","0fd_x"
128,"sicily","Sicily","Q1460","06w92"
136,"valdivia","Valdivia","Q160687","025s_c7"
139,"sylvester-stallone","Sylvester Stallone","Q40026","0gn30"
143,"universal-health-care","Universal Health Care","Q3274205","02r4sl"
146,"samba","Samba","Q11403","06__c"
147,"wolfram-alpha","Wolfram Alpha","Q207006","05pcr_d"
148,"snap-benefits","SNAP Benefits","Q556318","030gj7"
149,"taj-mahal","Taj Mahal","Q9141","0l8cb"
151,"trondheim","Trondheim","Q25804","09btk"
152,"vbulletin","vBulletin","Q44338","02szbm"
153,"will-smith","Will Smith","Q40096","0147dk"
157,"windows-media-player","Windows Media Player","Q192527","0b_mf"
160,"wachovia","Wachovia","Q1415262","02l6wq"
161,"yachts","Yachts","Q170173","08854"
162,"zacatecas","Zacatecas","Q80269","012tgw"
165,"stem-cell","Stem Cell Research","Q48196","06xn9"
166,"trent-reznor","Trent Reznor","Q282722","01271h"
168,"youth-ministry","Youth Ministry","Q8059317","0fwx6k"
169,"voice-actors","Voice Acting","Q2405480","0np9r"
170,"van-morrison","Van Morrison","Q272203","01wp8w7"
171,"thinkgeek","ThinkGeek","Q2191265","021jf1"
173,"jalisco","Jalisco","Q13160","01btyw"
174,"squarespace","Squarespace","Q7582097","075ff_x"
175,"taiwanese","Taiwanese","Q36778","0g1jw"
176,"vladimir-putin","Vladimir Putin","Q7747","08193"
178,"thessaloniki","Thessaloniki","Q17151","0b2mc"
179,"horticulture","Horticulture","Q48803","01fns6"
180,"spike-jonze","Spike Jonze","Q259913","06pk8"
181,"west-papua","West Papua","Q5096","02tc_5"
182,"max-payne","Max Payne","Q1175156","01zjqd"
183,"videoconferencing","Videoconferencing","Q238354","01p37y"
184,"segovia","Segovia","Q15684","0jg2n"
185,"william-gibson","William Gibson","Q188987","0821j"
186,"technical-support","Technical Support","Q366580","02zdwq"
189,"virgin-america","Virgin America","Q645084","03bwrn"
191,"west-palm-beach","West Palm Beach","Q163749","0rql_"
192,"sigmund-freud","Sigmund Freud","Q9215","06myp"
195,"virtual-machine","Virtual Machine","Q748417","01t9j9"
199,"wireless-network","Wireless Networks","Q11375","082h5"
200,"student-loan","Student Loans","Q462058","02crs_"
201,"uaw","UAW","Q1814260","01vdmd"
202,"social-software","Social Software","Q615985","01gdp5"
203,"waka-flocka-flame","Waka Flocka Flame","Q571125","09gnjnz"
204,"steve-martin","Steve Martin","Q16473","0p_47"
206,"wisdom-tooth","Wisdom Teeth","Q202517","02ccyf"
207,"sonoma-county","Sonoma County","Q108067","0l35f"
210,"stop-motion","Stop Motion Animation","Q308876","06qln"
215,"treasury","U.S. Department of Treasury","Q648666","0f1r9"
217,"katie-couric","Katie Couric","Q230739","01w_10"
218,"r-kelly","R. Kelly","Q273055","0ffgh"
220,"virgin-mobile","Virgin Mobile","Q1325951","039gly"
221,"russell-crowe","Russell Crowe","Q129817","06dv3"
222,"track-and-field","Track and Field","Q3312129","0bynt"
223,"uzbekistan","Uzbekistan","Q265","07t_x"
224,"punta-cana","Punta Cana","Q1568095","05sc7g"
227,"truck","Trucks","Q43193","07r04"
228,"x86","X86","Q182933","087hd"
229,"vince-vaughn","Vince Vaughn","Q107730","0315q3"
232,"trumpet","Trumpets","Q8338","07gql"
233,"zwolle","Zwolle","Q793","0f_qq"
235,"theo-walcott","Theo Walcott","Q29516","088nzc"
236,"william-shatner","William Shatner","Q16297","084m3"
238,"square","Square Inc.","Q7581990","0by16yq"
239,"snake","Snakes","Q2102","078jl"
240,"whirlpool","Whirlpool","Q607538","02dc2w"
241,"kourtney-kardashian","Kourtney Kardashian","Q575689","043ttm7"
246,"western-europe","Western Europe","Q27496","0852h"
254,"paul-rudd","Paul Rudd","Q276525","032w8h"
255,"stan-lee","Stan Lee","Q181900","079vf"
256,"st-paul","St. Paul","Q28848","0b2lw"
259,"wimax","WiMAX","Q133973","02dl1f"
260,"mobile-technology","Mobile Technology","Q6887246","09k6s3p"
261,"steve-ballmer","Steve Ballmer","Q181162","07bkv"
262,"southwest-airlines","Southwest Airlines","Q503308","0gztl"
264,"traffic","Traffic","Q4323994","0btp2"
265,"teething","Teething","Q2393344","03mpc9"
266,"photoblog","Photoblog","Q752295","09x_6m"
268,"tori-amos","Tori Amos","Q193744","07r4c"
271,"waikiki","Waikiki","Q254861","0g7gf"
272,"wealth","Wealth","Q14947471","083p06"
273,"woodworking","Woodworking","Q816871","08214"
277,"pagerank","PageRank","Q184316","05xpb"
278,"web-hosting","Web Hosting","Q5892272","014pz4"
279,"webex","WebEx","Q498944","042f2m"
280,"pirate-bay","Pirate Bay","Q22663","066fvd"
281,"barbara-walters","Barbara Walters","Q231417","01xcr4"
282,"wembley-stadium","Wembley Stadium","Q128468","027pds6"
283,"soviet-union","Soviet Union","Q15180","05vz3zq"
290,"tacoma","Tacoma","Q199797","010t4v"
291,"sonos","Sonos","Q7666226","02vw4v9"
293,"karl-marx","Karl Marx","Q9061","048cl"
294,"woody-allen","Woody Allen","Q25089","081lh"
297,"tina-turner","Tina Turner","Q131814","01vwyqp"
299,"quicktime","Quicktime","Q1243769","069n5"
302,"ubisoft","Ubisoft","Q188273","02qdyj"
303,"online-banking","Online Banking","Q188506","0352k1"
306,"rio-grande","Rio Grande","Q160636","0bt7c"
307,"james-blunt","James Blunt","Q130799","063t3j"
309,"xhtml","XHTML","Q166074","0879f"
310,"toni-braxton","Toni Braxton","Q155412","02h9_l"
311,"thom-yorke","Thom Yorke","Q188668","01p0w_"
312,"old-testament","Old Testament","Q19786","05ld9"
313,"ronaldinho","Ronaldinho","Q39444","02lfw5"
317,"yves-saint-laurent","Yves Saint Laurent","Q171556","012fs4"
318,"mayo-clinic","Mayo Clinic","Q1130172","0158xh"
319,"guy-kawasaki","Guy Kawasaki","Q507469","01p5q2"
320,"virgin-media","Virgin Media","Q1199764","0963jy"
321,"west-indies","West Indies","Q669037","0wj3lhw"
323,"talking-heads","Talking Heads","Q205001","07hgm"
325,"romeo-and-juliet","Romeo and Juliet","Q1573342","0c10f_"
326,"chiapas","Chiapas","Q60123","01zlx"
332,"voiceover","VoiceOver Screen Reader","Q1808580","062vsb"
333,"business-plan","Business Plans","Q208034","09y03"
337,"oregon-trail","Oregon Trail","Q862312","0d07c"
339,"spider","Spiders","Q1357","09kmb"
340,"subcultures","Subcultures","Q264965","013c8z"
341,"talktalk","TalkTalk Telecom","Q3514518","03cy16v"
343,"video-editing","Video Editing","Q1154312","02p14rx"
347,"victoria-beckham","Victoria Beckham","Q19810","0cgfb"
348,"orlando-bloom","Orlando Bloom","Q44467","09wj5"
349,"gulf-of-mexico","Gulf of Mexico","Q12630","03f_9"
351,"publicity","Publicity","Q1333727","01kjz1"
353,"real-housewives-of-orange-county","Real Housewives of Orange County","Q7759597","0gng4n"
356,"zipcar","Zipcar","Q1069924","04tz7n"
357,"sandra-bullock","Sandra Bullock","Q40791","0794g"
359,"singularity","Singularity","Q237525","0f5kk"
361,"petsmart","Petsmart","Q3307147","07926w"
362,"slow-cooker","Slow Cooking","Q642345","02tsc9"
364,"entertainment-journalism","Entertainment Journalism","Q5380486","03md8xc"
365,"marching-band","Marching Bands","Q1426710","09x9g"
367,"wells-fargo","Wells Fargo","Q744149","01kdws"
368,"rod-stewart","Rod Stewart","Q182655","0qf11"
369,"nescafe","Nescafe","Q503191","07t53r"
372,"tethering","Tethering","Q833066","08xd6s"
373,"lykke-li","Lykke Li","Q270724","03mglhd"
374,"julia-roberts","Julia Roberts","Q40523","046zh"
377,"vendors","Vendors","Q1762621","03ctrlg"
378,"royal-mail","Royal Mail","Q638098","01z3w3"
379,"sonora","Sonora","Q46422","0ldff"
381,"nick-cannon","Nick Cannon","Q348533","01d1st"
382,"pagan","Paganism","Q29536","05tgm"
383,"mastercard","Mastercard","Q489921","021b7r"
385,"wan","WAN","Q11384","09hrw"
386,"papa-roach","Papa Roach","Q254371","03q763"
387,"tim-mcgraw","Tim McGraw","Q356487","02lk95"
389,"outback-steakhouse","Outback Steakhouse","Q1064893","023xnd"
390,"chamber-of-commerce","Chamber of Commerce","Q1123526","01sgfj"
391,"dave-chappelle","Dave Chappelle","Q40321","01xwv7"
395,"media-relations","Media Relations","Q1916340","04y9nqc"
397,"online-reputation","Online Reputation","Q877546","01hwbh"
398,"wolves","Wolves","Q18498","084sq"
399,"super-mario-bros","Super Mario Bros.","Q11168","0kypr"
403,"rite-aid","Rite Aid","Q3433273","05lm7z"
406,"morgan-stanley","Morgan Stanley","Q334204","0jvs0"
407,"sierra-leone","Sierra Leone","Q1044","06s_2"
410,"tarragona","Tarragona","Q15088","0g7yd"
412,"rodent","Rodents","Q10850","06hps"
414,"travel-channel","Travel Channel","Q3317589","03qjnr"
417,"aston-martin","Aston Martin","Q27074","0ywc"
420,"stephen-fry","Stephen Fry","Q192912","0h0yt"
