"parentTopicId","parentTopicSlug","childTopicId","childTopicSlug"
10000000000000016624,"location-super",10000000000000019796,"atlantic-ocean"
10000000000000016632,"entertainment-super",7489,"lotteries"
10000000000000016688,"lifestyle-super",6217749465431731324,"tattoos"
10000000000000017421,"singer-songwriters",675,"nelly"
10000000000000017660,"indie-rock",10000000000000010008,"of-montreal"
4856054298913562981,"filmmaking",9219221220892056973,"james-cameron"
4968313867208098720,"wine",10000000000000016433,"wine-tasting"
5241585099662481339,"music",9219221220892058999,"kris-allen"
5287316586653136390,"southern-california",9007886615190908094,"long-beach"
5471580028855949340,"law-enforcement",10000000000000019189,"police-brutality"
5589419558180669759,"wales",3790,"newport"
7424015264236886140,"college",9219221220892055686,"ivy-league"
8119426466902417284,"politics",9219221220892056886,"civil-society"
8582816108322845072,"hematology",1548,"leukemia"
8582816108322901654,"soul-music",218,"r-kelly"
8655841127676549162,"social-media",10000000000000011383,"wikimedia"
8755118992863343010,"electronics",291,"sonos"
8755541566022602326,"cameras",4942497403582940432,"nikon"
8844810672657104773,"banking",10000000000000019914,"royal-bank-of-scotland"
9219221220892056455,"consumer-electronics",10000000000000017041,"fitbit"
