
02vx4	3601670	1573901
03rk0	3390063	1315770
015lz1	1290972	755363
0b3wk	749320	389113
0jm_	507140	207647
0dz3r	499407	349702
06q1r	392949	170247
05nd_	379487	158682
06by7	374635	240510
06qd3	303550	135990
09xp_	277178	124771
05hgj	268153	128494
0d075m	253400	152274
03shp	237783	141191
064t9	190445	140457
07jdr	132675	62505
02zd460	129223	89655
07sz1	127298	73561
05jnl	126499	64631
0d1_f	123256	78520
0gh43	121815	68720
02y5kn	111589	53129
0z74	110043	85020
05wkw	103869	63443
0qcr0	92834	45193
037hz	81808	42993
0d1pc	75742	43708
02q3s	74465	26423
02mjmr	72589	50057
02_tc	62101	37373
05b7q	61313	22897
02jgw	60697	32024
09b3v	59705	27037
036hv	57240	41094
03npn	53748	31953
039yzs	52471	34988
07hn5	51024	12934
048n7	47478	32461
02mk9	47303	19215
06mmr	36911	21708
01chg	36144	27871
02y1vz	35429	26854
026wp	35320	23378
04rwx	32982	21898
04h5c	32717	12937
06cvx	29112	20064
016ncr	26228	12673
0kc6x	24059	13072
06x4c	20497	10108
0h8b0	18907	9072
03c3vj4	18804	6535
09y4pm	15195	6180
06_4x	14355	7744
027x630	12842	6374
07_ny	11667	5333
0cqt90	11097	4523
02rq2k1	10480	5791
0h01f	10092	7369
0271t	9822	5373
06cvj	9780	6546
0d07ph	8700	3470
0478__m	8473	4572
075st	8459	4492
01vvycq	6849	3093
014j1m	6743	3384
01mpq7s	6431	3441
0cskb	6204	2704
04cmp	6004	3477
0d06m5	5814	3824
01tq4l	5633	3592
0bv199	5206	4416
0bqwj	3529	2854
0jt90f5	3516	2349
07_hy	3236	1922
099rn	2998	1633
074y7	2853	1502
06d4_	2803	1571
01gt7	2612	1946
03m8sg	2581	1339
02vxs3q	2358	1053
0dfbw	2207	712
05d1y	2119	992
0524b41	2087	1289
01524h	1819	1252
026wfg	1658	937
05t37	1597	997
03d068f	1501	973
0fkx3	1222	735
0dr90d	1210	543
02mbrd	1095	634
0l7js	850	443
0c_j5d	671	269
01vzz96	651	340
09tzjm	644	268
0h1fn8h	492	281
0gtvjv8	385	275
036wfx	282	155
03p1tw4	200	163
01by14	151	115
