<mention> <total_count> <total_unique_doc_count>
and	45862865	4266500
a	30374259	4652323
In	5643509	2084334
first	3341595	1609784
American	2432382	967334
University	1926160	686328
players	1553512	375666
This	1485877	965201
where	1432426	932919
National	1380527	668091
States	1378601	716978
I	1371011	588800
between	1289185	832947
team	1209953	469947
film	1178783	373018
S	1123721	571066
South	1063413	477270
album	1056865	284101
second	1015088	681761
played	1008506	524331
school	1006907	395281
British	977367	441571
English	956651	524833
League	949666	324959
War	930385	448113
State	875557	390448
football	873349	348794
called	843182	599889
career	842065	489271
state	821652	455797
North	818870	422712
music	814628	344088
early	767132	563547
College	763980	335125
films	749865	210728
game	745767	228421
group	723866	403504
band	691072	215737
company	688293	305234
high	679589	448640
International	663033	372793
song	645947	202271
B	640764	357019
D	632383	349343
player	630799	325600
House	603139	297264
local	591270	396713
system	579947	306395
world	579414	381511
club	561218	219049
California	547323	229279
games	546196	212389
Association	544582	360486
England	542887	312360
national	534977	350539
north	519167	330099
J	508319	298909
book	499099	262914
India	495831	205863
record	495555	289018
service	486187	274467
produced	484968	338346
original	465900	334044
top	457549	305908
country	453639	302154
still	449405	363629
Music	447721	214678
R	444049	241840
male	441373	297017
King	439109	221877
Indian	435804	185901
house	435275	236251
started	433034	333837
international	431564	290128
election	431424	156712
President	413946	220498
Football	409530	185458
songs	398710	196264
war	386798	224356
Company	378449	206075
professional	376055	270039
production	374245	217607
center	373798	164962
field	369523	216644
round	368274	184600
footballers	365621	148747
region	364723	246028
Union	363939	197185
head	362677	244296
teams	359945	173911
league	349338	147423
art	339966	171061
Island	338904	153481
China	338292	150212
Europe	337256	230235
Olympics	336690	132381
formed	333108	252875
Art	329132	136423
Press	323137	188511
Republic	314528	173793
lead	310447	216335
popular	307226	237372
Film	306982	134811
news	306007	191053
Olympic	305877	144395
race	301414	132890
Games	289855	113790
guitar	288174	110181
white	286130	181574
Court	284307	117389
rock	274793	155051
coach	272244	123421
college	266819	158066
open	265661	202868
vocals	264441	100887
artist	262647	170817
listed	256113	185090
type	252714	172005
taken	248867	212639
Navy	248406	97203
competition	246251	155335
singer	246242	156098
leading	242196	204458
Northern	233981	129742
plays	230187	186124
FC	228791	80936
sports	227280	149077
novel	225044	110831
basketball	222946	76537
railway	219677	100857
model	213632	116889
Scottish	212334	83999
producer	211263	131883
